Kategori_Pencarian,Posisi,Perusahaan,Lokasi,Link
data-scientist,Integrated Pest Management Associate Scientist,PT Mars Symbioscience Indonesia,Pangkajene Kepulauan,https://id.jobstreet.com/id/job/91698554?type=standard&ref=search-standalone&origin=cardTitle#sol=2d9200263163dccadc379b9b37818983afabd6c2
data-scientist,Data Analyst Supervisor,Thamrin Group,Palembang,https://id.jobstreet.com/id/job/91934650?type=standard&ref=search-standalone&origin=cardTitle#sol=045f13ce71de0d98cf087c3e4be24a674d942c4f
data-scientist,Database Administrator,PT Data Integrasi Inovasi,Tangerang,https://id.jobstreet.com/id/job/91818996?type=standard&ref=search-standalone&origin=cardTitle#sol=ddb7fcac7068dbf26611a5ba60c1d944ecc234b7
data-scientist,Data Engineer,PT Anggana Catur Prima,Jakarta Raya,https://id.jobstreet.com/id/job/91714826?type=standard&ref=search-standalone&origin=cardTitle#sol=1edf2645ed0df382fe5007679ef5f9e5006d986b
data-scientist,Data Engineer,PT Mitra Informatika,Surabaya,https://id.jobstreet.com/id/job/91907033?type=standard&ref=search-standalone&origin=cardTitle#sol=191087cabd1ef3d59ae5f6151ae54a529731fdb7
data-scientist,IT Data Internship,PT. Kalbe Farma Tbk. (International Division),Jakarta Timur,https://id.jobstreet.com/id/job/92010482?type=standard&ref=search-standalone&origin=cardTitle#sol=e3b0f5de8cd4eeeb05f56bc4a79d00ce07c7e8f0
data-scientist,Machine Learning Engineering Section Head,OLX Indonesia,Jakarta Selatan,https://id.jobstreet.com/id/job/91673562?type=standard&ref=search-standalone&origin=cardTitle#sol=00b93a8a1c42319037c5befccafeb18ff11994a5
data-scientist,Senior Machine Learning Engineer,Tetra Data Teknologi,Jakarta Pusat,https://id.jobstreet.com/id/job/91701420?type=standard&ref=search-standalone&origin=cardTitle#sol=cde6eb2901b38eb5e218e22c5668242ded97b69a
data-scientist,Senior Data Engineer,PT DAPUR SEHAT INDONESIA,Tangerang,https://id.jobstreet.com/id/job/91767618?type=standard&ref=search-standalone&origin=cardTitle#sol=51076c0ca677484213efa578bf0e4e7a01783e2d
data-scientist,Data Engineer Lead,Kawan Lama Group,Jakarta Raya,https://id.jobstreet.com/id/job/91795475?type=standard&ref=search-standalone&origin=cardTitle#sol=ad0563e57bd77d92fb97814e645da8210ec939eb
data-scientist,Senior Data Architect,Yayasan Bina Nusantara,Jakarta Raya,https://id.jobstreet.com/id/job/91846335?type=standard&ref=search-standalone&origin=cardTitle#sol=e3c40fc1f0d74f4720c497a634f2de6c3f1c4118
data-scientist,IT Finance Data & Analytics Partner,PT Bahari Eka Nusantara (Ben Line Agencies),Jakarta Raya,https://id.jobstreet.com/id/job/91705050?type=standard&ref=search-standalone&origin=cardTitle#sol=a7b01897f6cf4d5e0cf5ca6a9b2ccb51176d190c
data-scientist,ETL Pentaho Developer,PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY,Jakarta Pusat,https://id.jobstreet.com/id/job/91662770?type=standard&ref=search-standalone&origin=cardTitle#sol=e9cdad4aea08a8e1c0be824eac2553ece8769783
data-scientist,Data Manager,PT Trinusa Travelindo,Kecamatan Tangerang,https://id.jobstreet.com/id/job/91236141?type=standard&ref=search-standalone&origin=cardTitle#sol=c00d2a04fc87c5889aa4f7f63d5010e4ecf5d2c2
data-scientist,Junior Project Manager – AI & Computer Vision,Pengiklan Anonim,Berau,https://id.jobstreet.com/id/job/92192571?type=standard&ref=search-standalone&origin=cardTitle#sol=f100be576bc9f994622f5a517a5fb058616243a0
data-scientist,Tencent Cloud- Big Data Migration Architect (Indonesia),PT Tencent Technology Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/91224313?type=standard&ref=search-standalone&origin=cardTitle#sol=97bb83a2950259cf38fc31ffc53b19ded6c22c4c
data-scientist,Deployment Strategist - Global AI Start Up,PT Michael Page Internasional Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/92041562?type=standard&ref=search-standalone&origin=cardTitle#sol=32b70c7a47007e37f48ec326eeaf115fddcd718a
data-scientist,Product Owner,PT Digdaya Duta Digital,Setiabudi,https://id.jobstreet.com/id/job/91687684?type=standard&ref=search-standalone&origin=cardTitle#sol=64c4dc60e0691c926b6d701a1af43a14042e087f
data-scientist,Mathematics,Prime One School,Medan,https://id.jobstreet.com/id/job/92023774?type=standard&ref=search-standalone&origin=cardTitle#sol=b530cfc2ede8f17049422982ad37bbfde7860a1a
